"","J","colrate","assembly_model","ecological_strength"
"1",57977,0.0033723726231791,"competition",2.64454507139905
"2",146168,0.0006498558132764,"competition",3.19637135439498
"3",125888,0.0047340740016093,"neutral",0.998510623098573
"4",68198,0.0027458327015375,"filtering",2.18999133630616
"5",112674,0.0031672453433756,"filtering",0.123048738482315
"6",78052,0.0034211887940885,"neutral",8.93715078033257
"7",136888,0.0005979994351028,"filtering",3.16691111437974
"8",57181,0.000138307960496,"competition",0.151553037894216
"9",46312,0.0042105923537496,"neutral",0.573662227043421
"10",102851,0.0001437555230624,"competition",1.47741829048267
"11",65937,0.0045530174125357,"competition",8.86171060255282
"12",88698,0.001679076377616,"filtering",0.235006623329112
"13",59720,0.0036910645261098,"competition",3.28850126823209
"14",131047,0.0038830694277702,"neutral",0.326928864963678
"15",118920,0.0014120197555883,"neutral",0.532742607381569
"16",88927,0.0011949955901102,"competition",4.6366732211835
"17",89334,0.0001288566762182,"competition",8.43882226044085
"18",45153,0.0003068730535589,"competition",2.14096239718973
"19",46844,0.0045487489485081,"filtering",2.28716796366326
"20",118636,0.0047694471158828,"neutral",2.17206449205013
"21",69157,0.0019542976437494,"competition",1.58664655983317
"22",80887,0.0014269010346319,"filtering",7.7243591616451
"23",62325,0.0015183751904391,"filtering",3.28007992522115
"24",72170,0.0025326491529498,"neutral",0.225418017776367
"25",101327,0.0006688790848254,"filtering",0.264602925173406
"26",86397,0.0038310260481726,"neutral",6.159081347036
